TOI,P_mean,P_std
TOI0191,4.921973251431282,2.605875742714588
TOI0192,1.6344330085878793,0.3257095234367167
TOI0193,0.7913844994109032,0.0002466406399997123
TOI0194,0.8859964512718037,0.34158539417799055
TOI0195,1.5538980799792328,0.5159249895026441
TOI0196,1.5263762023377232,0.263076729397177
TOI0197,3.9658761458066873,1.6513259805522447
TOI0198,2.002031199067221,1.5754192203271835
TOI0199,7.63584996871099,2.2758935975268746
TOI0200,3.3268530646103294,0.3408177826407784
TOI0201,3.9069936579830062,1.5259245508179744
TOI0202,1.4913808657858612,1.0140353236693245
TOI0203,4.131892178768991,2.764025961081456
TOI0204,2.6469076876408075,1.492075654958655
TOI0205,3.835706152819984,1.3527896319153905
TOI0206,5.209838930992968,2.9854028403256945
TOI0207,2.6278148423190135,2.2566668781047974
TOI0208,3.130177745542005,2.844586478956813
TOI0209,1.7503037510839208,1.786905628781016
TOI0210,2.9141000006502304,2.4715898455702834
TOI0211,5.853152774598319,0.6615787744853675
TOI0212,2.195928957948339,1.8608199915663675
TOI0213,8.202787133663259,2.2028148815933735
TOI0214,6.965943942732113,1.7164494848650529
TOI0215,9.226615261118145,0.839020218538333
TOI0216,5.432734008783766,3.327638257388949
TOI0217,2.7575289221680044,2.3320438504522203
TOI0218,5.901484335506357,1.6084710347145132
TOI0219,2.2285055352538636,0.011022922081662574
TOI0220,3.3251253152199016,2.4803302248801535
TOI0221,3.647069929035546,2.4839135334271276
TOI0222,7.878108458845139,2.1218915411548607
TOI0223,1.2568076259511132,0.5906763829236273
TOI0224,2.078850941150667,0.006729899127556949
TOI0225,3.630604677502031,2.626185442928575
TOI0226,6.124453185640614,3.5159189319905666
TOI0227,1.3257791490983002,0.0019839576769342115
TOI0228,4.2611627746033935,1.5199267326297587
TOI0229,0.7829695929917593,0.2614321733180498
TOI0230,2.388806728268635,0.04925490708596447
TOI0231,1.1216140577892713,0.5616415928947244
TOI0232,0.8917814470212408,0.3149858471173612
TOI0233,0.4046334767353867,0.19159610729036838
TOI0234,0.45624546371506824,0.25375017455356075
TOI0235,6.869791885777687,2.3271060437793607
TOI0236,2.272752335502762,0.015368431995987586
TOI0237,0.1152204805273234,0.009383295950410393
TOI0238,5.0926549642526275,1.8620824627815693
TOI0239,2.0806373237693405,0.010791120497347761
TOI0240,5.6161041404603225,0.04556944505714422
TOI0241,4.68500630485894,0.7924962770995965
TOI0242,3.208877976234718,0.0
TOI0243,1.7175954900451043,0.0016490211203934457
TOI0244,4.089366422494404,0.8570153384127772
TOI0245,5.489047001912608,2.4763695938968247
TOI0246,1.4132493438684361,0.3980693757224534
TOI0247,1.9703222101902402,1.4809972794523003
TOI0248,5.935273781000902,0.8486645922724972
TOI0249,6.723268478029695,3.2767315219703055
TOI0250,0.6789894233463272,0.13566869388938818
TOI0251,3.814124873919253,0.023864675379090983
TOI0252,1.0013872663366583,0.0019122628569874837
TOI0253,3.424822331865662,0.521863467303059
