,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI4507_SECTORNone,0.588954316287945,1.697924562812935,0.0004413776115327,0.2811518456673324,1353.631311672059,0.999988085763106,1.4226897601915144e-05,0.0051300315626431,0.0087104065982174,1.005993576956083e-05,0.0009105354975812,0.0026250263286983,0.0500128938148998
TOI4618_SECTORNone,0.1166265439723402,8.574377375335459,0.0015535342245259,0.3300325696937913,2471.3416903065195,1.000040819419842,5.1156462935498905e-05,0.0052408268956974,0.0449368275625179,3.617308184320956e-05,0.0015051890243841,0.1106614178616476,0.0498350056921664
TOI0686_SECTORNone,0.2676589153904777,3.73609822987266,0.0003060949808337,-0.2233819758914994,1492.4676463175426,0.9999942721428576,1.0582002192154296e-05,0.0055021416950497,0.0205565418473839,7.482605508603213e-06,0.0011631831198186,0.0162362101356956,0.0494972335760036
TOI2451_SECTORNone,2.9335402561248367,0.3408850442437716,0.025278636593427,-0.1667362908660882,2174.29039614603,0.9994758768762207,0.0008504961451952,0.0053547455017265,0.0018253526572701,0.0006013915916406,0.0009515505202032,0.0001105726572193,0.0493590825860241
TOI4559_SECTORNone,0.1177015120016318,8.496067578011536,0.0005845606202318,-0.4015635590632619,1604.71147248061,1.000026402018146,2.337588437113645e-05,0.0063644169963683,0.0540725168957907,1.652924635506322e-05,0.0013669042129779,0.0986674713742711,0.0491279082160212
TOI3684_SECTORNone,0.3099823220626262,3.225990415666247,0.0025121723009364,-0.1312778774437172,2448.114929267902,0.9997841761524626,9.631607741804192e-05,0.0061019619612032,0.0196848708036018,6.810575147958594e-05,0.0011926640552635,0.0124120717136007,0.0490394424090399
TOI1785_SECTORNone,0.2595729133132478,3.852482091585644,0.0002938442226797,0.1903200520509879,2389.9206089014,0.999985021581098,9.266264854084217e-06,0.0050188900842653,0.0193351841692688,6.552238714593523e-06,0.0009458296868466,0.0140376431568165,0.0489995580660044
TOI0189_SECTORNone,0.1215202526190538,8.229080984013724,0.0005179674498489,0.293818382703243,1322.8766163253647,1.0000073650388523,1.714896881942641e-05,0.005269333347755,0.0433617708504408,1.2126152142573077e-05,0.0007950584465371,0.053839588073341,0.0488794953415661
TOI4515_SECTORNone,0.1420016278175071,7.042172793153796,0.0006295795439754,-0.2797230781327753,2449.6637997082,1.0001216106562698,2.467244646334382e-05,0.006237086084494,0.0439226379327819,1.7446054202692467e-05,0.0011615400113986,0.0576033218220778,0.0485680067292557
TOI1058_SECTORNone,0.2119984260748859,4.717016152029176,0.0002677667950276,0.2346996697787954,1655.3620849399265,0.9999942444407268,8.78960781843154e-06,0.0052243577550316,0.0246433799144631,6.215191292383238e-06,0.0010610977570609,0.0236096812207943,0.0485666311911471
TOI0407_SECTORNone,0.9249544521656092,1.0811343171100865,0.0019894357489011,0.4609220458251558,1324.7966328321536,0.9999290088544228,6.513557182680384e-05,0.0052108484695116,0.0056336271016495,4.605780453519644e-05,0.000870967373237,0.0010180314436945,0.0485355782826373
TOI0596_SECTORNone,0.6625253071808641,1.5093763048163955,0.0003154509264997,-0.0799539295502035,2229.123296914296,0.9999897801912088,1.074279711920784e-05,0.0054200800204545,0.0081809403530827,7.596304691903172e-06,0.0011637374210402,0.0026512461777807,0.0483673192858723
TOI0996_SECTORNone,0.2798501776964942,3.573340593281772,0.0003667253056593,-0.2983780216816192,2230.114496877517,1.0000361657665633,1.2503748886988152e-05,0.0054264961043959,0.0193907188091235,8.841485628243069e-06,0.0011514042310033,0.0147020077378072,0.0480652207755144
TOI2203_SECTORNone,0.317107759189962,3.153502148778877,0.0015426239703067,0.0767113148605457,2036.0410894194551,0.9998916078768794,5.514044478082517e-05,0.0056889264785695,0.017940041874414,3.899018242216385e-05,0.0012715241190649,0.0126447679865615,0.0476203544156319
TOI2283_SECTORNone,0.1751122770602865,5.71062187521967,0.0006711091510853,-0.4485827140290156,1685.9153047712002,1.0000054023092817,2.3722852393938884e-05,0.0056259242131157,0.032127525879747,1.677458979684171e-05,0.0011529633874806,0.0375995221603309,0.0476136792661884
TOI0259_SECTORNone,0.1098632404685859,9.102225600981956,0.0013976748997218,0.3023577439226996,1383.189496556547,1.0000898375710028,5.409211526011717e-05,0.0061595350447071,0.0560654775740786,3.824890150915318e-05,0.0013303526498996,0.110220396709608,0.0475400551638545
TOI1874_SECTORNone,0.5568585206223575,1.7957882711076731,0.0008799113393501,0.4228990038955256,1955.0358725482613,1.0000059479635994,2.910294755232333e-05,0.005264028038231,0.0094530798098372,2.0578891566764266e-05,0.0009881673756167,0.0031866970106527,0.0475266113975101
TOI0969_SECTORNone,0.1,10.0,0.0004563196327435,0.4321498020911719,2224.861185835912,1.0000262260519526,1.5533091578548576e-05,0.0054176242458859,0.0541762424588594,1.0983554387983352e-05,,,0.0471574101633417
TOI5084_SECTORNone,0.2090365573317905,4.783852225487827,0.0001329832455051,0.2948092615678667,2446.28164214328,0.9999978361593506,5.114249327397793e-06,0.0061207564725006,0.0292807944726412,3.61632038008172e-06,0.0012900622951203,0.0295233879676554,0.0465872318773837
TOI2135_SECTORNone,0.1764113920530278,5.668568159699166,0.0008255601125079,-0.047852230366131,2010.541671923672,1.0001410989680812,2.925685470406373e-05,0.0056402592311876,0.0319721938903597,2.0687720357433013e-05,0.0009561023116741,0.0307221152687335,0.0465698945277089
TOI3492_SECTORNone,0.1082621476788755,9.236838742255276,0.0001644393126973,0.4524989632991117,2304.1955542761234,1.000023859639111,5.711537486892904e-06,0.0055279933294696,0.051061182952574,4.038666887983144e-06,0.0011940108730211,0.1018720404781672,0.0464742792101688
TOI0415_SECTORNone,0.1195195798919046,8.366829944553148,0.0004888315404423,0.1046055038004691,1410.0297882741177,1.0000625948256878,1.8120734408146285e-05,0.0058997920856379,0.0493625570887532,1.2813294180080638e-05,0.0011796330046183,0.0825788440316703,0.0463289672338531
TOI0975_SECTORNone,0.1079795161828129,9.26101574957019,0.0005445343667058,-0.1240220491533917,2230.1520648443784,0.9999923282963104,1.7962094779437176e-05,0.0052499095506618,0.0486194950324979,1.2701119022855512e-05,0.0010058968459115,0.0862721640339465,0.0461646112504479
TOI0235_SECTORNone,0.1,10.0,0.0002149413558424,0.4008759817362536,1350.1010024367592,1.0000080697432543,6.855238313034626e-06,0.0050760127538796,0.0507601275387965,4.847385497796613e-06,,,0.0460826394589685
TOI0298_SECTORNone,0.3774080302068202,2.649652153537905,0.0017529284409404,0.4684548823942296,2060.6145512287285,1.0000404383777424,7.136255292785995e-05,0.0064792736456671,0.0171678213686033,5.046094509807368e-05,0.0015632762050698,0.0109752253047401,0.045624391505055
TOI4570_SECTORNone,0.1921972047654836,5.2029893005998,0.0260688018026616,-0.1760099625890307,2391.571871102562,0.9995716907324732,0.0008577232603305,0.005236561991605,0.0272457760142485,0.0006065019337611,0.0009389149548885,0.0254174584402472,0.0455679193043195
TOI0827_SECTORNone,0.4069575387545021,2.457258816387849,0.0008041009070747,-0.4520220981926232,1599.2669621799012,1.0000096437813195,2.8601113683136827e-05,0.0056609917742339,0.0139105219467354,2.02240414348334e-05,0.0009587967136978,0.0057893304669287,0.0454179836241036
TOI0311_SECTORNone,1.2532387200019095,0.797932575845148,0.0021183914625541,-0.07523564181866,2447.756408718929,0.9999474240651006,0.0001020277641609,0.0076653551932541,0.0061164366141212,7.21445239075327e-05,0.0014415191001657,0.0009178100152566,0.0454039375394641
