TOI,P_mean,P_std
TIC103633336,2.13415270056767,0.0
TIC103633434,5.832351517185299,0.0
TIC103633474,0.8729546297358616,0.0
TIC103633672,7.471148453574598,0.0
TIC103656297,0.1439130550608295,0.0
TIC103656350,4.961673582595046,0.0
TIC103656399,4.053901911126639,0.0
TIC103656470,5.154027749978955,0.0
TIC103656874,0.594055132834905,0.0
TIC103657028,4.462091663591507,0.0
TIC103657243,2.871745522074664,0.0
TIC103683964,0.4785773669423585,0.0
TIC103685050,0.1260397653780613,0.0
TIC103685343,0.8293865378761198,0.0
TIC103685349,10.0,0.0
TIC103685646,1.7311934946958567,0.0
TIC103685736,4.5382502425646125,0.0
TIC103685833,0.1595431223935551,0.0
TIC103685942,0.908757719851405,0.0
TIC103685971,0.6523545820091597,0.0
TIC103687176,0.5967194134331818,0.0
TIC103687336,4.6170448788185325,0.0
TIC103687616,5.255905176691553,0.0
TIC103687777,8.986117140498733,0.0
TIC103687873,1.016449583911967,0.0
TIC103688614,4.388444928283122,0.0
TIC103688741,4.248214044907191,0.0
TIC103688859,10.0,0.0
TIC103688875,4.053902784919464,0.0
TIC103689253,4.538242840492736,0.0
TIC103689487,1.5960928909144338,0.0
TIC103689855,5.154022020054946,0.0
TIC103689933,9.300434614177748,0.0
TIC103690479,2.752815084877437,0.0
TIC103690775,1.0203512677915154,0.0
TIC103690782,9.637540121691432,0.0
TIC103690791,6.243184396214138,0.0
TIC103691396,0.6738457834806207,0.0
TIC103691613,0.1250909841514468,0.0
TIC103691996,4.783156070506661,0.0
TIC103692065,5.255900446762228,0.0
TIC103692258,5.587230797654868,0.0
TIC103692542,4.2482083789329135,0.0
TIC103692670,0.1554388602545158,0.0
TIC103699404,5.154030813204134,0.0
TIC103699816,7.07362919827957,0.0
TIC103700194,8.158898489399345,0.0
TIC103700423,3.3408017485317427,0.0
TIC103700545,4.870775320434668,0.0
TIC103700673,4.69863018800404,0.0
TIC103700861,3.5647492799432405,0.0
TIC103701014,4.617044849938957,0.0
TIC103701489,0.6931693915244656,0.0
TIC103701670,4.388443724326169,0.0
TIC103701727,2.542255056716892,0.0
